Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-01-20T22:31:20.192;790698656096309376;-240283;-240891;-301158;-472702;
2025-01-20T22:31:20.210;790698656114498048;-240233;-240926;-301108;-472776;
2025-01-20T22:31:20.229;790698656132686848;-240154;-240789;-301013;-472746;
2025-01-20T22:31:20.247;790698656150875520;-239980;-240653;-300903;-472744;
2025-01-20T22:31:20.265;790698656169064320;-239886;-240506;-300737;-472766;
2025-01-20T22:31:20.283;790698656187252992;-239676;-240347;-300642;-472777;
2025-01-20T22:31:20.301;790698656205441792;-239582;-240233;-300560;-472757;
2025-01-20T22:31:20.320;790698656223630464;-239424;-240074;-300397;-472776;
2025-01-20T22:31:20.338;790698656241819136;-239322;-240017;-300391;-472715;
2025-01-20T22:31:20.356;790698656260007936;-239349;-240125;-300517;-472720;
